date,BAC,BK,C,FHN,FITB,HBAN,JPM,KEY,MTB,NTRS,PBCT,PNC,RF,ZION,STI,TFC,USB,WFC,SPY
2002-01-23,0.003031793,-0.000701414,0.006097561,0.005164956,0.000961499,0.02266132,-0.000279595,0.008403401,0.006848369,0.010040847,0.024436125,0.005234741,0.009686742,0.005240692,0.004313241,0.008598431,0.021484402,0.006213862,0.007653293
2002-01-24,0.018135529,0.006083328,0.008080808,0.001141858,0.005603623,0.008522705,0.004195847,0.001984097,0.002746981,0.008087673,0.006880708,0.019202608,0.004477156,-0.01100598,0.009250042,0.007388524,0.015774375,0.004046049,0.00309104
2002-01-25,-0.010156274,-0.009767438,-0.005611198,0.004847503,0.008438127,0.000563393,-0.025348184,0.003564362,0.001043493,0.0091927,0.006833687,-0.010059094,0.004457201,-0.001952407,0.033878883,0.001128376,0.008470603,-0.00106051,-0.00026412
2002-01-28,0.004577757,-0.001643964,-0.006247493,-0.007094224,-0.006788764,-0.000563076,-0.019434132,-0.003551703,0.007948927,-0.009274617,0.011312276,-0.002096791,-0.002535659,-0.014084457,-0.003166012,-0.001127104,0.003266435,0.001061636,0.002730053
2002-01-29,-0.069767421,-0.058574442,-0.052727641,-0.036010264,-0.024320438,-0.023661976,-0.065870068,-0.044356469,-0.030381364,-0.049648968,-0.008948512,-0.004525599,-0.026692141,-0.028571476,-0.032237614,-0.027644556,-0.055348862,-0.030328744,-0.031442138
2002-01-30,0.041554038,0.005247374,0.016912853,0.004150592,0.022482848,-0.005193315,0.031513328,0.002486588,0.006533305,0.009674636,-0.009932364,-0.095470061,0.010773787,0.010212418,0.002461463,0.010443882,0.001969518,0.00853017,0.014417882
2002-01-31,0.022218601,0.018642745,-0.002105263,0.007381177,0.007807548,0.01566128,0.029945488,0.017362549,-0.006490898,0.017247349,0.000456056,0.036618218,0.010012897,0.017792177,0.008348311,0.011771456,0.023095789,0.006072409,0.011709998
2002-02-01,-0.026495291,-0.0092728,-0.019198325,-0.003810159,0.003162067,-0.009708742,-0.055506591,-0.004469752,0.010933329,-0.010104473,0.00273468,-0.001385313,0.000639572,0.000595923,-0.000973986,0.008513031,-0.031700281,0.006682504,-0.004682795
2002-02-04,-0.031942618,-0.046551708,-0.047106892,-0.008531914,-0.022695074,-0.020184566,-0.049751256,-0.036734678,-0.014771864,-0.035640097,-0.000909108,-0.049939264,-0.01917543,-0.009727971,-0.028111789,-0.028700068,-0.016369044,-0.021199179,-0.024855775
2002-02-05,-0.008417508,-0.026091426,0.011286682,0.002670605,0.000645072,-0.000588595,-0.050392639,-0.004237304,-0.002945028,-0.000717634,-0.007734295,-0.013141106,0.004561769,0.005012029,-0.002842367,0.003765964,0,-0.007656935,-0.006190262
